@relation whatever
@attribute F0 real
@attribute F08 real
@attribute F16 real
@attribute F24 real
@attribute F32 real
@attribute F4 real
@attribute F48 real
@attribute F56 real
@attribute F64 real
@attribute F72 real
@attribute F8 real
@attribute F88 real
@attribute F96 real
@attribute F104 real
@attribute F112 real
@attribute F12 real
@attribute F128 real
@attribute electrode real
@attribute test_type real
@data
nan,-0.18272419034294796,-0.17419753795233747,-0.22531943412845734,-0.15246708953651028,-0.13950536610387418,-0.17288449215058857,-0.071120657050163877,-0.16582562374601006,-0.092833734204014737,0.070953867672875898,-0.13616065367526398,-0.19203036921307076,-0.1704165369088301,-0.28773694406944478,-0.28407356842364762,-0.079885846709414773,-0.26247279894649428,0.0
nan,-0.15021056223040816,-0.15823140664115101,-0.24146481188885482,-0.17499799944060884,-0.11539078615117739,-0.11577487419593796,-0.17959572783192904,-0.12199165267748213,-0.14413374368825502,-0.24939030302839552,-0.093278172196549311,-0.0018526256597366235,0.011162897713171761,0.55799382513850093,-0.069396680198100205,-0.11526936900311191,-0.22108231813996645,0.0
nan,-0.17197770373255378,-0.17730440647430815,-0.13226953822394355,-0.15309407510193396,-0.1134362979854638,-0.045837229820593794,-0.10441773014285524,-0.10706313351671433,-0.21316514501474465,-0.15563151836929295,0.0080913850792850781,-0.062652334036736479,-0.011417483121539685,0.1156343435167002,0.044283221708698792,-0.086830528424215042,-0.16884435627516686,0.0
nan,-0.16276834206453822,-0.17752594514407388,-0.21406214516155594,-0.13439751735361782,-0.13310152157188318,0.0057197732165560847,-0.16509712262570495,-0.11185941526834658,0.043848071856230339,-0.031419527633707915,-0.145170636995995,-0.14262713787750952,-0.22719820831500379,-0.23884654951614065,-0.40307270016850033,-0.20424277859260695,-0.21341132136537025,0.0
nan,-0.016409910318671624,-0.043619233846929423,0.071804142105133861,-0.083386319122337058,-0.13830139696172122,-0.23200222789654129,-0.21314730985910521,-0.15751860147409871,-0.15790549082489949,-0.31634340666415006,-0.16239725835428115,-0.15206394013130026,-0.13750802549487448,-0.25668686775723842,-0.25450230167931714,-0.22611588609362446,-0.19119832439159518,0.0
nan,-0.090314853834738182,-0.16597616656664024,-0.0992347081532238,-0.12014625984996727,-0.14378450819533403,-0.10861106917852469,-0.088488510955467281,-0.14351356408468346,-0.21669711234093425,-0.083081116359133705,-0.083985417981615712,-0.063256016136976789,-0.059763600330781208,0.0015205757385914785,-0.011995149769558715,-0.29703095773745586,-0.077089277618382232,0.0
nan,-0.17409763077729459,-0.15762156167315258,-0.15920506309512786,-0.18821776544038235,-0.17654002793013476,-0.21328640020997022,-0.11037254760946077,-0.14837866048930184,-0.19198923685484259,-0.15039183401890177,-0.15909088816889563,-0.15459728815664264,0.046969063681818052,-0.10551665877679492,-0.073147782605831449,-0.27341349901588985,-0.27820279682133597,0.0
nan,-0.11696884546781149,-0.052134802368984129,0.017896249684471871,-0.067050123487923538,0.06957348996399286,0.21498199019098907,-0.035898537908719351,-0.15085050392001761,-0.093742582201696636,-0.10799128526505782,-0.11203664694967558,-0.18919664057891894,-0.11713015455992624,-0.36699033527455349,-0.27580270698486242,-0.23257325980920102,-0.25362188951942538,0.0
nan,-0.16549600384827004,-0.17176156731439018,-0.16647168450258723,-0.1719710056764375,-0.18962150936850705,-0.15816385398345592,-0.12848548772146759,-0.18829058794425163,-0.23982872520582846,-0.1606721716121198,-0.16766016895920424,-0.17583935041853965,-0.13519922952135061,0.066041767132131099,-0.2363316894855452,-0.19575267028600091,-0.09944413807988059,0.0
nan,-0.17928002126571627,-0.156759141167996,-0.026844956644783386,-0.16840576854296244,-0.19954626257371455,-0.22546988316809802,-0.19895583480616108,-0.15960153039648317,-0.128046297254057,-0.15127091299648346,-0.18799354984504119,-0.12804340864488473,-0.066440364206129032,0.039678879663704578,0.12091792339090046,-0.17998401664710145,-0.22637333937716572,0.0
