@relation whatever
@attribute F0 real
@attribute F15 real
@attribute F31 real
@attribute F46 real
@attribute F62 real
@attribute F78 real
@attribute F93 real
@attribute F10 real
@attribute F12 real
@attribute F14 real
@attribute F156 real
@attribute F17 real
@attribute F18 real
@attribute F20 real
@attribute F21 real
@attribute F23 real
@attribute F25 real
@attribute test_type {0.0,1.0}
@attribute electrode {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0}
@data
0.31262153692612826,11.386283898641716,4.3812135740565807,3.0212371022082642,1.4641230582455402,2.3581710709281176,1.9244692576696505,1.8496611852315259,1.0530209348260697,0.69540503448570978,0.65194342878301859,1.3870980066403689,1.1957116011609572,0.56527393309596685,0.77109886547925255,1.1299705302929426,0.10339060244561304,0.0,1.0
0.69641368020834116,25.953185276476045,5.6229654403402209,1.9976718732252094,4.8172004500419163,4.7941042062134542,9.6930989776590017,1.8575989197142613,2.069784062829132,0.61212215291106808,0.74524061419331589,0.78853876142183377,0.70743210216939978,1.0500488739343647,0.80225982461402123,0.38250762652040449,0.32388726621656599,0.0,1.0
8.2375707920656147,116.56333223390871,56.745461154299271,24.334674883889491,7.0051895423924035,5.0523281069450432,6.6246627367986264,1.451645925712628,1.1304698217664588,1.1476180181617701,1.7247089189645348,0.31115538459639913,0.39838088910746761,0.519407288934845,0.39574067154851289,0.57277701717661555,0.17892988627102413,0.0,1.0
2.6168392608433089,87.491214126399115,17.425504119725296,14.713525967908716,7.6759257812885791,5.4791582431203407,6.1347880578880734,3.9722447745393969,0.64814463349589779,0.48759263612483728,0.439435244416784,0.44989869672354166,0.60224521646364537,0.51052545570363095,0.59251153405573787,0.3378344904166698,0.088412693489558034,0.0,1.0
0.16868691739563568,11.719115439610501,2.7241659082834224,2.8199496853078263,3.1528056392755914,4.3534762371253386,8.1930082159726698,0.97382986856509535,0.83311487239948612,0.85403414863294058,0.7459092018450757,0.627659223165276,0.28444462382702568,0.2865865733346965,0.24460678399416264,0.21445337671479503,0.12018981262939303,0.0,1.0
0.80293965281450719,21.239206384788176,15.579000406282359,11.086829399430538,5.4463242484022478,7.8812589556673132,3.419174816140266,3.0643760607889439,1.2367363737287391,0.78197680529344704,0.24544219196764006,0.43299900000045499,0.28964676521197225,0.5941109956764391,0.37807519228374575,0.27841731799899838,0.092355085250702032,0.0,1.0
0.4172343565262227,11.883841915140342,5.8989709045136927,4.2982513143996277,3.1892723102079681,2.982799014880646,2.3835598947317553,2.4373259667212173,1.293140901642988,0.89843316238019222,0.32541739376731182,0.48649016833697273,0.26071402971699148,0.2636818748866247,0.16440004678393194,0.22955331254905675,0.0832854191961485,0.0,1.0
4.0712997997220555,96.386128672301709,32.447788307947249,8.0285934485637327,3.7170274902499916,6.7098953874360836,3.2174172786170021,1.936944544665419,1.3814355839166619,0.76548922664609154,0.49981505433497553,0.26147276874675768,0.4509536235355921,0.39593695475585161,0.52162749517683227,0.29471916433623446,0.11119249711827225,0.0,1.0
0.29466670652557908,27.666833020546857,3.4701115255761348,2.6684097137482952,4.9753094103160569,3.3927652252212388,2.6139459481616005,2.7278018021496866,1.3140997049267662,0.47797841076734221,0.79810400527748238,0.85826822884682719,0.8215395903118462,0.52981155779424771,0.55670942281895053,0.27882431045894041,0.13166716733179512,0.0,1.0
0.13380486894580521,11.429799493975262,3.4447834570973059,3.2564282166859413,1.738852346672189,6.6588176965915569,9.647106016264269,5.8754569683531566,0.8243166504084869,0.45672213939239714,0.39467479503071062,0.82705633834227843,0.7329098020542304,0.416232218057422,0.41552137540378226,0.21351578446929131,0.072441125710697121,0.0,1.0
